NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
301,下方公会堂,,中３５２６－１,,34.681779,138.0626643,,,,,静岡県,掛川市,0,1,,0,0,,,,,,,,
302,高塚農事集会所,,中２８１,,34.6795605,138.061336,,,,,静岡県,掛川市,0,1,,0,0,,,,,,,,
303,満勝寺駐車場,,中３５２９,,34.6809069,138.0626631,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
304,毛森山,,,,34.6953042,138.056866,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
305,川原町公会堂,,西大渕５７０１,,34.6810957,137.9888794,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
306,浄泉寺,,西大渕５７３４,,34.6807339,137.992636,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
307,松室神社,,西大渕５７４９,,34.6817412,137.9904314,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
308,汐見ヶ丘公民館,,西大渕５９２５－２,,34.6844739,137.9890823,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
309,大須賀運動場,,西大渕６２２０－１,,34.6874943,137.9915689,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
310,十六軒町公会堂,,横須賀１０７８－２,,34.681686,137.985893,,,,,静岡県,掛川市,0,0,,1,0,,,,,,,,
